state,district,year,predicted_crimes
Sabah,Beaufort,2026,98.588036
Sabah,Beluran,2026,50.049633
Sabah,Keningau,2026,139.27254
Sabah,Kota Belud,2026,104.35604
Sabah,Kota Kinabalu,2026,985.9879
Sabah,Kota Kinabatangan,2026,52.624226
Sabah,Kota Marudu,2026,70.38213
Sabah,Kudat,2026,37.393562
Sabah,Kunak,2026,51.419636
Sabah,Lahad Datu,2026,207.84918
Sabah,Papar,2026,178.56618
Sabah,Penampang,2026,357.9278
Sabah,Ranau,2026,59.522095
Sabah,Sandakan,2026,441.89014
Sabah,Semporna,2026,242.80148
Sabah,Sipitang,2026,61.92458
Sabah,Tawau,2026,617.10614
Sabah,Tenom,2026,32.470425
Sabah,Tuaran,2026,79.72278
Sabah,W.P. Labuan,2026,164.0485
Sarawak,Bau,2026,46.523186
Sarawak,Belaga,2026,36.347233
Sarawak,Betong,2026,54.777348
Sarawak,Bintulu,2026,379.8864
Sarawak,Dalat,2026,17.192932
Sarawak,Julau,2026,6.6963353
Sarawak,Kanowit,2026,14.028032
Sarawak,Kapit,2026,38.808247
Sarawak,Kota Samarahan,2026,275.86722
Sarawak,Kuching,2026,1050.1964
Sarawak,Lawas,2026,34.537086
Sarawak,Limbang,2026,42.935043
Sarawak,Lubok Antu,2026,19.023182
Sarawak,Lundu,2026,46.37796
Sarawak,Marudi,2026,62.04513
Sarawak,Matu Daro,2026,20.962729
Sarawak,Meradong,2026,36.96828
Sarawak,Miri,2026,671.2754
Sarawak,Mukah,2026,61.628895
Sarawak,Padawan,2026,647.58765
Sarawak,Saratok,2026,27.87551
Sarawak,Sarikei,2026,117.943
Sarawak,Serian,2026,93.56827
Sarawak,Sibu,2026,589.10986
Sarawak,Simunjan,2026,33.735367
Sarawak,Song,2026,6.4201927
Sarawak,Sri Aman,2026,82.89012
Sarawak,Tatau,2026,16.864231
Selangor,Ampang Jaya,2026,1732.4708
Selangor,Gombak,2026,2059.0127
Selangor,Hulu Selangor,2026,389.5341
Selangor,Kajang,2026,2089.3203
Selangor,Klang Selatan,2026,1465.2448
Selangor,Klang Utara,2026,897.5928
Selangor,Kuala Langat,2026,443.6872
Selangor,Kuala Selangor,2026,356.35202
Selangor,Petaling Jaya,2026,2541.09
Selangor,Sabak Bernam,2026,248.43124
Selangor,Sepang,2026,593.92285
Selangor,Serdang,2026,1365.9764
Selangor,Shah Alam,2026,1011.7809
Selangor,Subang Jaya,2026,1020.0257
Terengganu,Besut,2026,316.55826
Terengganu,Dungun,2026,220.60056
Terengganu,Hulu Terengganu,2026,96.363686
Terengganu,Kemaman,2026,259.26074
Terengganu,Kuala Terengganu,2026,485.1089
Terengganu,Marang,2026,123.71039
Terengganu,Setiu,2026,70.12739
W.P. Kuala Lumpur,Brickfields,2026,1397.6017
W.P. Kuala Lumpur,Cheras,2026,1277.779
W.P. Kuala Lumpur,Dang Wangi,2026,2197.624
W.P. Kuala Lumpur,Sentul,2026,1801.3857
W.P. Kuala Lumpur,W.P. Putrajaya,2026,209.90343
W.P. Kuala Lumpur,Wangsa Maju,2026,1651.879
Johor,Batu Pahat,2027,466.81165
Johor,Iskandar Puteri,2027,497.9667
Johor,Johor Bahru Selatan,2027,1775.94
Johor,Johor Bahru Utara,2027,1073.5165
Johor,Kluang,2027,428.93585
Johor,Kota Tinggi,2027,361.36774
Johor,Kulaijaya,2027,466.8317
Johor,Ledang,2027,153.4442
Johor,Mersing,2027,101.46475
Johor,Muar,2027,220.58339
Johor,Nusajaya,2027,105.56626
Johor,Pontian,2027,181.89113
Johor,Segamat,2027,247.76852
Johor,Seri Alam,2027,1083.3387
Kedah,Baling,2027,240.07037
Kedah,Kota Setar,2027,1071.4747
Kedah,Kuala Muda,2027,1359.7493
Kedah,Kubang Pasu,2027,443.28555
Kedah,Kulim,2027,626.4958
