series,date,state,sector,value
abs,1/1/2018,Negeri Sembilan,Mining and quarrying,223.609
abs,1/1/2018,Negeri Sembilan,Manufacturing,17208.037
abs,1/1/2018,Negeri Sembilan,Construction,1915.685
abs,1/1/2018,Negeri Sembilan,Services,22126.197
abs,1/1/2018,Negeri Sembilan,(plus) Import dutie,897.422
abs,1/1/2018,Pahang,GDP at purchasers' prices,56289.94
abs,1/1/2018,Pahang,Agriculture,12418.561
abs,1/1/2018,Pahang,Mining and quarrying,705.115
abs,1/1/2018,Pahang,Manufacturing,12194.343
abs,1/1/2018,Pahang,Construction,2399.236
abs,1/1/2018,Pahang,Services,28453.955
abs,1/1/2018,Pahang,(plus) Import dutie,118.73
abs,1/1/2018,Perak,GDP at purchasers' prices,73030.81
abs,1/1/2018,Perak,Agriculture,10993.834
abs,1/1/2018,Perak,Mining and quarrying,460.602
abs,1/1/2018,Perak,Manufacturing,13221.631
abs,1/1/2018,Perak,Construction,2336.763
abs,1/1/2018,Perak,Services,45910.8
abs,1/1/2018,Perak,(plus) Import dutie,107.18
abs,1/1/2018,Perlis,GDP at purchasers' prices,5885.364
abs,1/1/2018,Perlis,Agriculture,1260.332
abs,1/1/2018,Perlis,Mining and quarrying,32.582
abs,1/1/2018,Perlis,Manufacturing,465.657
abs,1/1/2018,Perlis,Construction,147.251
abs,1/1/2018,Perlis,Services,3881.139
abs,1/1/2018,Perlis,(plus) Import dutie,98.404
abs,1/1/2018,Pulau Pinang,GDP at purchasers' prices,91234.235
abs,1/1/2018,Pulau Pinang,Agriculture,1969.23
abs,1/1/2018,Pulau Pinang,Mining and quarrying,156.363
abs,1/1/2018,Pulau Pinang,Manufacturing,39458.422
abs,1/1/2018,Pulau Pinang,Construction,2619.567
abs,1/1/2018,Pulau Pinang,Services,46120.484
abs,1/1/2018,Pulau Pinang,(plus) Import dutie,910.17
abs,1/1/2018,Sabah,GDP at purchasers' prices,85012.016
abs,1/1/2018,Sabah,Agriculture,13836.318
abs,1/1/2018,Sabah,Mining and quarrying,23993.921
abs,1/1/2018,Sabah,Manufacturing,6513.729
abs,1/1/2018,Sabah,Construction,2918.088
abs,1/1/2018,Sabah,Services,37423.047
abs,1/1/2018,Sabah,(plus) Import dutie,326.914
abs,1/1/2018,Sarawak,GDP at purchasers' prices,133009.823
abs,1/1/2018,Sarawak,Agriculture,16614.458
abs,1/1/2018,Sarawak,Mining and quarrying,29626.577
abs,1/1/2018,Sarawak,Manufacturing,35579.068
